PLAYER NAME,AGE,COUNTRY,PLAYING ROLE,T-RUNS,T-WKTS,ODI-RUNS-S,ODI-SR-B,ODI-WKTS,ODI-SR-BL,CAPTAINCY EXP,RUNS-S,HS,AVE,SR-B,SIXERS,RUNS-C,WKTS,AVE-BL,ECON,SR-BL,SOLD PRICE
Mishra,2,India,Bowler,459,43,5,27.77,19,40.1,0,186,31,10.94,102.2,3,1530,74,20.68,8.11,17.46,300000
Mithun,1,India,Bowler,152,9,51,92.72,3,60,0,32,11,8,133.33,1,435,6,72.5,12.89,44,260000
Mohammad Asif,2,Pakistan,Bowler,233,106,34,34,46,42.1,0,3,3,1.5,50,0,296,8,37,12.25,24,650000
Morkel,2,South Africa,Allrounder,97,1,782,100.25,50,41.4,0,781,71,24.41,146.25,45,1899,69,27.52,9.25,20.01,675000
Morkel,2,South Africa,Bowler,633,139,117,75.97,94,28.5,0,60,16,10,111.11,2,884,38,23.26,10.37,18.95,475000
Muralitharan,3,Sri Lanka,Bowler,1309,800,674,77.56,534,35.2,0,20,6,3.33,66.67,0,1395,57,24.47,8.49,22.63,600000
Nannes,3,Australia,Bowler,89,0,1,50,1,42,0,4,3,4,30.77,0,627,24,26.13,7.17,21.92,650000
Nayar,2,India,Allrounder,28,0,0,0,0,0,0,563,35,19.41,123.19,19,263,7,37.57,8.74,25.86,800000
Nehra,2,India,Bowler,119,44,141,57.31,157,36.6,0,38,22,19,82.61,1,1192,48,24.83,7.57,19.73,850000
Noffke,2,Australia,Allrounder,15,0,0,0,1,54,0,9,9,9,90,0,40,1,40,12,24,20000
Ntini,2,South Africa,Bowler,781,390,199,66.77,266,32.6,0,11,11,11,61.11,0,242,7,34.57,6.91,30,200000
Ojha,2,India,W. Keeper,20,0,1,14.28,0,0,0,960,94,22.33,117.94,50,0,0,0,2,0,270000
Ojha,1,India,Bowler,170,62,41,43.61,20,41.7,0,10,3,1,30.3,0,1548,69,22.43,10.16,18.8,500000
Oram,2,New Zealand,Allrounder,1852,60,2377,87.16,168,39.7,0,106,41,13.25,98.15,5,327,9,36.33,10.26,23.67,675000
Pankaj Singh,2,India,Bowler,81,0,3,100,0,0,0,7,4,3.5,58.33,0,468,11,42.55,12.36,27.27,95000
Patel,2,India,Bowler,140,35,74,66.07,86,36.6,0,39,23,7.8,235.49,0,1504,70,21.49,7.39,17.47,275000
Patel,2,India,W. Keeper,781,0,736,76.5,0,0,0,912,57,20.27,107.29,13,0,0,0,2,0,325000
Pathan,2,India,Allrounder,1185,100,1468,78.96,165,34,0,929,60,23.82,128.31,34,1975,66,29.92,9.74,23.23,925000
Pathan,2,India,Allrounder,93,0,810,113.6,33,45.1,0,1488,100,25.66,149.25,81,1139,36,31.64,8.2,26.36,475000
Pietersen,2,England,Batsman,6679,5,4184,86.76,7,57.1,1,634,103,42.27,141.2,30,215,7,30.71,7.41,24.86,1550000
Pollock,3,South Africa,Allrounder,3805,421,3519,86.69,393,39.9,1,147,33,18.37,132.43,8,301,11,27.36,9.54,25,550000
Pomersbach,2,Australia,Batsman,57,0,0,0,0,0,0,244,79,27.11,130.48,12,0,0,0,1,0,50000
Ponting,3,Australia,Batsman,13232,5,13704,80.39,3,50,1,39,20,9.75,73.58,1,0,0,0,2,0,400000
Powar,2,India,Bowler,26,6,163,62.69,34,45.1,0,67,28,22.33,104.69,1,527,13,40.54,8.42,32.77,170000
Raina,1,India,Batsman,803,13,3525,92.71,16,61.9,0,2254,98,33.64,139.39,97,678,20,33.9,9.05,28.9,650000
Ryder,2,New Zealand,Allrounder,1284,5,1100,89.72,11,34.8,0,604,86,21.57,131.88,19,303,8,37.88,8.73,29.5,160000
Saha,2,India,W. Keeper,109,0,4,80,0,0,0,372,59,28.62,128.28,16,0,0,0,0,0,100000
Sangakkara,2,Sri Lanka,W. Keeper,9443,0,10472,75.75,0,0,1,1567,94,27.98,124.76,27,0,0,0,0,0,700000
Sarwan,2,West Indies,Batsman,5866,23,5644,75.76,16,36.3,0,73,31,18.25,97.33,1,0,0,0,0,0,225000
Sehwag,2,India,Batsman,8197,40,8090,104.68,95,45.4,1,1879,119,30.31,167.32,79,226,6,37.67,13.56,21.67,1800000
Shahid Afridi,2,Pakistan,Allrounder,1814,48,7040,113.87,344,43.4,1,81,33,10.12,176.08,6,225,9,25,10.5,20,675000
Sharma,1,India,Bowler,466,133,47,34.05,64,33.6,0,37,9,9.25,80.43,1,1176,36,32.67,8.63,23.61,950000
Sharma,2,India,Allrounder,71,0,35,116.66,1,150,0,36,16,9,120,2,419,12,34.92,12.88,21.33,225000
Sharma,1,India,Batsman,89,0,1961,78.85,8,59.1,0,1975,109,31.35,129.17,82,408,14,29.14,11,21.86,750000
Shoaib Akhtar,3,Pakistan,Bowler,613,178,394,73.23,247,31.4,0,2,2,2,28.57,0,54,5,10.8,8.71,8.4,425000
Shoaib Malik,2,Pakistan,Allrounder,1687,21,5253,78.37,139,47.6,1,52,24,13,110.63,0,85,2,42.5,11,25.5,500000
Silva,2,Sri Lanka,Batsman,622,1,1587,70.4,1,42,0,40,23,20,153.84,1,21,0,0,23,0,100000
Singh,2,India,Bowler,144,40,104,42.97,69,37.1,0,52,10,3.47,68.42,1,1892,74,25.57,10.75,19.78,875000
Smith,2,West Indies,Allrounder,339,7,925,97.26,56,44.8,0,439,87,25.82,148.81,24,338,9,37.56,11.14,27.89,100000
Smith,2,South Africa,Batsman,8075,8,6598,81.58,18,57,1,739,91,28.42,110.63,9,0,0,0,1,0,250000
Sohail Tanvir,2,Pakistan,Bowler,77,5,268,94.03,55,37.4,0,36,13,12,124.13,1,266,22,12.09,7.46,11.2,100000
Sreesanth,2,India,Bowler,300,87,44,36.36,75,33,0,33,15,11,64.71,0,1031,35,29.46,9.25,21.43,625000
Steyn,2,South Africa,Bowler,816,272,142,73.57,91,33.7,0,70,13,4.67,86.42,1,1304,59,22.1,9.58,20.15,325000
Styris,3,New Zealand,Allrounder,1625,20,4483,79.41,137,44.6,0,131,36,18.71,98.5,3,276,8,34.5,10.67,27,175000
Symonds,3,Australia,Allrounder,1472,24,5088,92.44,133,44.6,0,974,117,36.07,129.87,41,674,20,33.7,9.7,26.35,1350000
Taibu,2,Zimbabwe,W. Keeper,1616,1,3393,67.58,2,42,1,31,15,10.33,119.23,0,0,0,0,0,0,125000
Taylor,2,New Zealand,Batsman,2833,2,3185,81.77,0,0,1,895,81,27.97,130.28,45,24,0,0,15,0,1000000
Tendulkar,3,India,Batsman,15530,45,18426,86.23,154,52.2,1,2047,100,37.91,119.22,24,58,0,0,10.67,0,1800000
Tiwary,2,India,Batsman,38,0,165,75.68,1,60,0,969,75,31.26,113.33,22,45,1,45,11.25,24,675000
Tiwary,1,India,Batsman,47,0,49,87.5,0,0,0,836,42,25.33,119.6,32,0,0,0,3,0,1600000
Tyagi,1,India,Bowler,85,0,1,50,3,55,0,3,3,3,0.75,0,295,6,49.17,8.55,34.83,240000
Umar Gul,2,Pakistan,Bowler,627,157,368,69.04,154,32.2,0,39,24,13,205.26,5,184,12,15.33,8.17,11.2,150000
Uthappa,2,India,Batsman,42,0,786,91.92,0,0,0,1538,69,26.98,126.17,59,0,0,0,0,0,800000
Vaas,3,Sri Lanka,Bowler,3137,355,2025,72.52,400,39.4,0,81,20,10.13,110.96,3,355,18,19.72,9.55,15.67,200000
Van der Merwe,2,South Africa,Allrounder,39,0,39,95.12,17,41.4,0,137,35,15.22,118.1,8,427,18,23.72,9.83,20.94,50000
Venugopal Rao,2,India,Batsman,13,0,218,60.05,0,0,0,914,71,22.29,118.24,37,321,6,53.5,12.44,34,700000
Vettori,2,New Zealand,Allrounder,4521,359,2105,81.93,282,45.7,1,121,29,15.13,107.08,2,878,28,31.36,9.81,27.75,625000
Vinay Kumar,2,India,Bowler,43,1,43,43.87,28,35.3,0,217,25,9.43,104.83,5,1664,61,27.28,10.24,19.87,475000
Warne,3,Australia,Bowler,3201,708,1018,72.04,293,36.3,1,198,34,9.9,92.52,6,1447,57,25.39,8.27,20.95,450000
Warner,1,Australia,Batsman,562,2,876,85.79,0,0,0,1025,109,27.7,135.76,44,0,0,0,1,0,750000
White,2,Australia,Batsman,219,5,2037,80.48,12,27.5,1,745,78,31.04,132.09,29,70,0,0,15,0,500000
Yadav,2,India,Batsman,68,0,0,0,0,0,0,49,16,9.8,125.64,2,0,0,0,0,0,750000
Younis Khan,2,Pakistan,Batsman,6488,7,6814,75.78,3,86.6,1,3,3,3,42.85,0,0,0,0,3,0,225000
Yuvraj Singh,2,India,Batsman,1785,9,8051,87.58,109,44.3,1,1237,66,26.32,131.88,67,569,23,24.74,8.02,21.13,1800000
Zaheer Khan,2,India,Bowler,1194,288,790,73.55,278,35.4,0,99,23,9.9,91.67,1,1783,65,27.43,9.75,21.26,450000
Zoysa,2,Sri Lanka,Bowler,328,64,343,95.81,108,39.4,0,11,10,11,122.22,0,99,2,49.5,11,33,110000
